//
// Structure of Database:
// GroupID,ItemID,Rate
//

IG_SHADOW_CUBE_WEAPON,24019,1	//Physical Weapon (Shadow)
IG_SHADOW_CUBE_WEAPON,24022,1	//Magical Weapon (Shadow)
IG_SHADOW_CUBE_WEAPON,24031,1	//Kingbird's Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24032,1	//Critical Hit Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24033,1	//Healing Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24034,1	//Lucky Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24043,1	//Dexterous Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24075,1	//Large Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24076,1	//Medium Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24077,1	//Small Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24078,1	//Spiritual Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24087,1	//Gemstone Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24099,1	//Unfrozen Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24104,1	//Neutral Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24110,1	//Caster Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24117,1	//Greed Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24123,1	//Heal Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24129,1	//Hiding Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24135,1	//Cloaking Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24141,1	//Teleport Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24147,1	//Steal Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24152,1	//Solid Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24156,1	//Demi-Human Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24157,1	//Exorcist Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24158,1	//Hunting Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24159,1	//Insect Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24160,1	//Fishing Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24161,1	//Dragon Killer Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24162,1	//Angelus Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24163,1	//Formless Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24164,1	//Holy Water Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24165,1	//Plant Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24170,1	//Magic Demi-Human Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24171,1	//Magic Exorcist Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24172,1	//Magic Hunting Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24173,1	//Magic Insect Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24174,1	//Magic Fishing Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24175,1	//Magic Dragon Killer Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24176,1	//Magic Angelus Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24177,1	//Magic Formless Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24178,1	//Magic Holy Water Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24179,1	//Magic Caesars Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24183,1	//Bearer's Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24223,1	//Enhanced Force Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24224,1	//Force Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24227,1	//Enhanced Spirit Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24228,1	//Spirit Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24233,1	//Exceed Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24343,1	//Blitz Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24360,1	//Tension Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24363,1	//Elegant Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24370,1	//Mortal Blow Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24380,1	//Sentimental Shadow Weapon
IG_SHADOW_CUBE_WEAPON,24383,1	//Enchanting Shadow Weapon

IG_SHADOW_CUBE_ARMOR,24024,1	//Breeze Armor (Shadow)
IG_SHADOW_CUBE_ARMOR,24027,1	//Immune Shadow Armor
IG_SHADOW_CUBE_ARMOR,24028,1	//Hard Shadow Armor
IG_SHADOW_CUBE_ARMOR,24029,1	//Ancient Shadow Armor
IG_SHADOW_CUBE_ARMOR,24030,1	//Critical Shadow Armor
IG_SHADOW_CUBE_ARMOR,24037,1	//Dexterous Shadow Armor
IG_SHADOW_CUBE_ARMOR,24040,1	//Lucky Shadow Armor
IG_SHADOW_CUBE_ARMOR,24072,1	//Large Shadow Armor
IG_SHADOW_CUBE_ARMOR,24073,1	//Medium Shadow Armor
IG_SHADOW_CUBE_ARMOR,24074,1	//Small Shadow Armor
IG_SHADOW_CUBE_ARMOR,24081,1	//Malicious Shadow Armor
IG_SHADOW_CUBE_ARMOR,24084,1	//Gemstone Shadow Armor
IG_SHADOW_CUBE_ARMOR,24091,1	//Plasterer's Shadow Armor
IG_SHADOW_CUBE_ARMOR,24093,1	//Insomniac Shadow Armor
IG_SHADOW_CUBE_ARMOR,24095,1	//Peerless Shadow Armor
IG_SHADOW_CUBE_ARMOR,24097,1	//Adurate Shadow Armor
IG_SHADOW_CUBE_ARMOR,24112,1	//Spellflow Shadow Armor
IG_SHADOW_CUBE_ARMOR,24114,1	//Greed Shadow Armor
IG_SHADOW_CUBE_ARMOR,24120,1	//Heal Shadow Armor
IG_SHADOW_CUBE_ARMOR,24126,1	//Hiding Shadow Armor
IG_SHADOW_CUBE_ARMOR,24132,1	//Cloaking Shadow Armor
IG_SHADOW_CUBE_ARMOR,24138,1	//Teleport Shadow Armor
IG_SHADOW_CUBE_ARMOR,24144,1	//Steal Shadow Armor
IG_SHADOW_CUBE_ARMOR,24154,1	//Immortal Shadow Armor
IG_SHADOW_CUBE_ARMOR,24180,1	//Bearer's Shadow Armor
IG_SHADOW_CUBE_ARMOR,24186,1	//Basis Shadow Armor
IG_SHADOW_CUBE_ARMOR,24187,1	//Hallowed Shadow Armor
IG_SHADOW_CUBE_ARMOR,24188,1	//Underneith Shadow Armor
IG_SHADOW_CUBE_ARMOR,24189,1	//Underneath Shadow Armor
IG_SHADOW_CUBE_ARMOR,24190,1	//Flame Shadow Armor
IG_SHADOW_CUBE_ARMOR,24191,1	//Windy Shadow Armor
IG_SHADOW_CUBE_ARMOR,24192,1	//Envenom Shadow Armor
IG_SHADOW_CUBE_ARMOR,24193,1	//Damned Shadow Armor
IG_SHADOW_CUBE_ARMOR,24194,1	//Exorcism Shadow Armor
IG_SHADOW_CUBE_ARMOR,24195,1	//Divine Shadow Armor
IG_SHADOW_CUBE_ARMOR,24197,1	//Hasty Shadow Armor
IG_SHADOW_CUBE_ARMOR,24216,1	//Attack Shadow Armor
IG_SHADOW_CUBE_ARMOR,24219,1	//Cold Bolt Shadow Armor
IG_SHADOW_CUBE_ARMOR,24220,1	//Fire Bolt Shadow Armor
IG_SHADOW_CUBE_ARMOR,24221,1	//Lightning Bolt Shadow Armor
IG_SHADOW_CUBE_ARMOR,24222,1	//Earth Spike Shadow Armor
IG_SHADOW_CUBE_ARMOR,24242,1	//Caster Shadow Armor
IG_SHADOW_CUBE_ARMOR,24245,1	//Reload Shadow Armor
IG_SHADOW_CUBE_ARMOR,24344,1	//Blitz Shadow Armor

IG_SHADOW_CUBE_SHIELD,24026,1	//Athena Shield (Shadow)
IG_SHADOW_CUBE_SHIELD,24039,1	//Athletic Shadow Shield
IG_SHADOW_CUBE_SHIELD,24044,1	//Vital Shadow Shield
IG_SHADOW_CUBE_SHIELD,24052,1	//Cranial Shield (Shadow)
IG_SHADOW_CUBE_SHIELD,24053,1	//Safeguard Shield (Shadow)
