//Level,作成物,作成物ID,個数,アイテム１,数,アイテム２,数,…,0 *ゼニーは-1,金額	
1,上段1,,,
2,[衣装] …いる,20409,1,7720,1
2,[衣装] 15周年記念ウィング,31317,1,7720,1
2,[衣装] I LOVE GAMES,31579,1,7720,1
2,[衣装] アークエンジェリングヘアバンド,31259,1,7720,1
2,[衣装] アイス・フォン・フリージンガー69世,31145,1,7720,1
2,[衣装] アサラ精霊帽子,31663,1,7720,1
2,[衣装] あやしいパン袋,31174,1,7720,1
2,[衣装] アヤム,20388,1,7720,1
2,[衣装] アリスのウィッグ,31329,1,7720,1
2,[衣装] アリスのウィッグ(桃),31407,1,7720,1
2,[衣装] あれ,19913,1,7720,1
2,[衣装] アンゴラの遺志,31815,1,7720,1
2,[衣装] イグドラシルクラウン,31496,1,7720,1
2,[衣装] イドゥンの青りんご帽子,31402,1,7720,1
2,[衣装] イヌ耳帽子,31794,1,7720,1
2,[衣装] イビルドルイド帽,19824,1,7720,1
2,[衣装] インディアンの鉢巻き,31714,1,7720,1
2,[衣装] インビジブルキャップ,19602,1,7720,1
2,[衣装] ヴァルキリーフェザーバンド,19506,1,7720,1
2,[衣装] ヴァルキリーフェザーバンド,19613,1,7720,1
2,[衣装] ヴァルゴクラウン,31412,1,7720,1
2,[衣装] ヴァンパイアのヘアバンド,20098,1,7720,1
2,[衣装] ウィザードハット,20093,1,7720,1
2,[衣装] ウィスパーマスク(上段),31240,1,7720,1
2,[衣装] ヴィゾフニルの羽飾り,19623,1,7720,1
2,[衣装] ヴェルゼブブの王冠,20302,1,7720,1
2,[衣装] ウサギの魔術帽子,19652,1,7720,1
2,[衣装] ウサギ耳の花帽子,31092,1,7720,1
2,[衣装] うさぴょん帽,31249,1,7720,1
2,[衣装] ウルドの月桂冠,31838,1,7720,1
2,[衣装] ウルフマスカレード,31179,1,7720,1
2,[衣装] エクリプス帽子,20241,1,7720,1
2,[衣装] エルダーデビルホーン,19290,1,7720,1
2,[衣装] エルラバハット,31543,1,7720,1
2,[衣装] エルンスト・フォン・ヴォルフ11世,31664,1,7720,1
2,[衣装] エレノアのウィッグ,31062,1,7720,1
